Tweet text,Tweet date
"Bryan Broadhurst, a Cyber Designer for the Bank of England visited the school today to speak with students about his career journey and career opportunities within this sector. Thank you for a fantastic talk. #careers",2023-04-18T14:06:02.000Z
U1 trip to the Bank of England ,2023-02-22T11:05:27.000Z
BoE unveils new £50 note celebrating WW2 code breaker Alan Turing http://dlvr.it/RwL24h,2021-03-25T09:18:05.000Z
"The @bankofengland has revealed the design for the new £50 note, featuring Bletchley Park codebreaker Alan Turing https://itv.com/news/anglia/2021-03-25/bank-of-england-reveal-design-of-new-alan-turning-50-note…#alanturing #TheNew50",2021-03-25T08:18:23.000Z
New £50 banknote featuring WWII codebreaker and LGBTQ icon Alan Turing revealed:https://attitude.co.uk/article/new-50-note-featuring-lgbtq-icon-alan-turing-revealed-1/24709/…,2021-03-25T09:04:26.000Z
New Alan Turing £50 note design revealed ,2021-03-25T08:23:04.000Z
Reckon you could crack this?  GCHQ unveil ‘toughest ever puzzle’ to mark Alan Turing £50 note https://bit.ly/3lQq1Bt,2021-03-25T08:50:27.000Z
"The Bank of England unveils the design of its new 50-pound banknote honoring World War II code breaker Alan Turing, completing its “most secure” set of notes yet",2021-03-25T07:58:01.000Z
 Finance will power the transition to a zero-carbon economy The #COP26 Private Finance Agenda launched last week to help private finance support the global transition to #netzero. Check out our highlights @AlokSharma_RDG | #YoCA2020 | @bankofengland,2020-03-02T08:00:00.000Z
"The launch of the #COP26 Private Finance Agenda today at @GuildhallLondon kicked off with a chat between Sir David Attenborough and @bankofengland Governor Mark Carney. We are already leading the charge to a green future, but there is still work to be done. @COP26 @GFI_green",2020-02-27T09:33:55.000Z
Excited to be part of @bankofengland  Citizens’ Panel @BofESouthEast for the South East and East Anglia this evening in Ipswich. #BofECitizensPanel,2020-02-26T18:19:18.000Z
"I finally got hold of a new @bankofengland £20 note today, a truly remarkable banknote. I love the lighthouse security feature which projects light beams as you flick the note up and down.",2020-02-26T14:16:35.000Z
"One of the coolest uses of AR I've seen -  a Snapchat filter that, when hovered over the new £20 note, that transforms the Artist on the note (JMW Turner) into one of his detailed paintings - complete with vivid animations - excellent, cool stuff @Snapchat @bankofengland  ",2020-02-25T14:31:00.000Z
We're delighted to be supporting @bankofengland in introducing the new £20 note by dispensing it through selected ATMs as we start the full roll-out. The £20 note is the most widely used note & now it will be the most secure too. #20poundnote #Williamturner #Thefightingtemeraire,2020-02-20T11:33:24.000Z
"#TheNew20 featuring JMW Turner is finally available Celebrating the work of this iconic artist, the banknote features the picturesque sunset, Margate Lighthouse & @TCMargate!",2020-02-20T09:43:35.000Z
"We’re delighted to have worked with @bankofengland to make sure #TheNew20 is accessible. So, you can bank on the new £20 being as accessible as possible for people with sight loss!",2020-02-20T06:53:00.000Z
Snapchat and Bank of England bring Turner artworks to life for launch of new £20 note https://buff.ly/38IUHxh,2020-02-20T09:34:02.000Z
The new £20 has come to Parliament today! The most secure note yet with design features referencing Turner.,2020-02-05T13:42:55.000Z
"The “Turner”, the new £20 note featuring the Turner Contemporary & Margate Lighthouse, was launched at the House of Commons today.  It will be in circulation later in the Spring. I look forward to when all MPs will be carrying around a little bit of Margate in their wallets!",2020-02-05T13:31:43.000Z
Joint @bankofengland @FederalReserve and @ecb conference will discuss gender and career progression. Watch Live October 21. https://ecb.europa.eu/pub/conferences/html/20191021_2nd_gender_conference.en.html?utm_source=ecb_twitter&utm_medium=social&utm_campaign=191021_gendercareerconference…,2019-10-18T17:02:55.000Z
"Exciting news today as the @bankofengland reveal that JMW Turner will now feature on the new £20 notes.And you can see Turner's 'Walton Bridges', his first piece painted in open air, on display now at @NorwichCastle.",2019-10-10T11:35:47.000Z
@bankofengland thanks for the great competition. As a team we loved every minute! Look forward to coming to the Bank in the summer #target2,2015-03-21T22:12:27.000Z
